review_priority,risk_score,id,name,coordinate_status,compass_eligible,longitude,latitude,booth_location,map_ref,baseline_change_m,verification_distance_m,issue_codes
medium,25,3079.1,Poncho Dogs,unverified,false,-93.172881254487,44.979400116793,South side of Judson Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3079.3,Poncho Dogs,unverified,false,-93.175083399359,44.978101568864,Southwest corner of Judson Ave. & Clough St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3095.1,Pretzel Dogs,unverified,false,-93.176421138665,44.978916659608,West side of Liggett St. between Carnes & Judson avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,1023.1,Pronto Pups,unverified,false,-93.171730824359,44.979595388554,West side of Underwood St. between Dan Patch & Carnes avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3111.1,Pronto Pups,unverified,false,-93.169165639744,44.980400140644,South side of Dan Patch Ave. between Underwood & Cooper streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,5028.1,Pronto Pups,unverified,false,-93.169436747436,44.982996216087,East side of Cosgrove St. between Randall & Wright avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,5687.1,Pronto Pups,unverified,false,-93.172529664103,44.980542087368,North side of Carnes Ave. between Chambers & Nelson streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,7805.1,Pronto Pups,unverified,false,-93.167987884615,44.983609593493,Northwest corner of Randall Ave. & Cooper St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,4150.1,Quench’d: Lemonade/Bottled Water,unverified,false,-93.171254906238,44.981083733961,South side of Dan Patch Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,1856.1,RC Cola,unverified,false,-93.171771571154,44.982257403353,East side of Underwood St. outside Visitors Plaza,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3173.1,Rice Kristie Bars,unverified,false,-93.170140046154,44.980689031817,North side of Carnes Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,5754.1,Rick's Pizza,unverified,false,-93.1682697,44.9822351,West side of Cosgrove St. between Wright & Dan Patch avenues,2120-2759,96.5,,large_change_from_baseline|no_independent_verification
